Date,series,OPEN,HIGH,LOW,PREV.CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
25-Jul-2018,EQ,260.00,261.70,256.10,258.80,257.45,257.85,258.49,468.35,247.3,"67,21,386","1,73,74,16,471.75","66,449"
26-Jul-2018,EQ,260.10,263.00,257.50,257.85,258.25,258.25,260.04,468.35,247.3,"88,17,721","2,29,29,42,888.05","74,857"
27-Jul-2018,EQ,259.10,269.70,258.55,258.25,268.30,268.15,266.19,468.35,247.3,"1,52,75,469","4,06,61,60,566.40","1,12,709"
30-Jul-2018,EQ,267.75,271.65,266.20,268.15,268.00,267.50,269.20,468.00,247.3,"78,01,098","2,10,00,75,133.65","74,045"
31-Jul-2018,EQ,268.95,270.45,262.20,267.50,263.60,264.10,264.96,468.00,247.3,"1,00,26,055","2,65,65,04,310.80","89,004"
01-Aug-2018,EQ,250.00,268.00,250.00,264.10,264.40,265.05,260.06,468.00,247.3,"5,32,82,545","13,85,67,20,818.85","3,44,274"
02-Aug-2018,EQ,263.45,266.45,258.70,265.05,260.25,260.85,262.61,468.00,247.3,"1,74,21,472","4,57,50,85,041.45","1,35,851"
03-Aug-2018,EQ,262.15,263.85,257.60,260.85,258.20,258.45,260.96,468.00,247.3,"90,44,248","2,36,01,77,002.20","84,897"
06-Aug-2018,EQ,259.95,261.80,252.50,258.45,253.50,254.05,257.56,468.00,247.3,"1,13,71,744","2,92,89,54,668.70","85,599"
07-Aug-2018,EQ,255.20,256.00,250.55,254.05,251.90,251.60,253.14,468.00,247.3,"1,44,90,829","3,66,82,50,166.55","1,23,125"
08-Aug-2018,EQ,253.50,258.25,251.85,251.60,255.25,255.15,255.37,468.00,247.3,"1,61,25,867","4,11,80,52,351.05","1,06,451"
09-Aug-2018,EQ,256.65,260.40,255.50,255.15,257.75,257.85,258.39,468.00,247.3,"77,77,719","2,00,96,49,692.60","62,645"
10-Aug-2018,EQ,257.25,258.65,249.55,257.85,250.00,250.10,252.57,468.00,247.3,"1,46,06,037","3,68,90,22,002.30","1,11,029"
13-Aug-2018,EQ,249.25,249.70,243.10,250.10,249.00,248.70,247.37,468.00,243.1,"1,38,77,900","3,43,29,57,569.40","98,989"
14-Aug-2018,EQ,248.60,249.85,247.20,248.70,248.60,248.80,248.55,468.00,243.1,"91,71,033","2,27,94,87,010.85","68,640"
16-Aug-2018,EQ,245.80,252.80,245.25,248.80,251.80,251.30,250.19,468.00,243.1,"1,41,48,347","3,53,97,34,481.95","72,491"
17-Aug-2018,EQ,253.70,260.10,253.00,251.30,259.05,258.25,256.76,468.00,243.1,"1,61,17,660","4,13,84,34,027.45","93,097"
20-Aug-2018,EQ,261.85,271.85,259.20,258.25,270.55,270.10,267.63,468.00,243.1,"2,55,76,718","6,84,51,19,619.35","2,40,049"
21-Aug-2018,EQ,271.85,274.70,266.70,270.10,268.50,268.80,271.73,468.00,243.1,"1,95,05,584","5,30,01,72,762.70","2,22,999"
23-Aug-2018,EQ,269.20,269.20,256.00,268.80,256.55,256.90,260.16,468.00,243.1,"1,86,67,622","4,85,64,78,809.80","2,49,176"
24-Aug-2018,EQ,257.00,258.65,255.00,256.90,255.15,255.50,256.79,468.00,243.1,"87,03,468","2,23,49,91,162.00","71,872"
27-Aug-2018,EQ,257.00,259.50,256.50,255.50,259.20,258.80,258.25,468.00,243.1,"61,27,707","1,58,24,59,587.70","66,022"
28-Aug-2018,EQ,261.70,263.25,259.05,258.80,259.80,260.00,261.14,468.00,243.1,"85,06,857","2,22,14,55,469.80","89,370"
29-Aug-2018,EQ,261.05,263.50,261.00,260.00,261.90,261.70,262.36,468.00,243.1,"51,17,552","1,34,26,56,977.45","55,817"
30-Aug-2018,EQ,262.30,263.00,259.00,261.70,259.90,259.35,260.38,468.00,243.1,"63,33,570","1,64,91,37,025.15","46,799"
31-Aug-2018,EQ,259.10,268.25,258.10,259.35,266.95,267.50,264.41,468.00,243.1,"1,23,60,078","3,26,81,16,233.80","99,108"
03-Sep-2018,EQ,271.40,273.00,265.25,267.50,266.65,266.60,269.20,468.00,243.1,"1,45,97,832","3,92,97,42,460.40","1,18,115"
04-Sep-2018,EQ,270.50,270.80,260.35,266.60,261.40,261.95,265.69,468.00,243.1,"1,47,75,900","3,92,57,49,320.00","1,17,155"
05-Sep-2018,EQ,261.00,271.00,255.40,261.95,268.75,266.50,262.00,468.00,243.1,"1,00,84,307","2,64,20,88,211.30","86,534"
06-Sep-2018,EQ,269.70,272.00,263.85,266.50,268.65,269.95,268.39,468.00,243.1,"1,47,36,214","3,95,51,12,115.35","1,03,471"
